epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
60,543.569,2.39991,0.35294,0.97182,1.69202,0.05518,12.6716,0.56596,0.63441,0.55199,0.1802,0.61165,0.7621,0.71283,0.47418,3.07942,2.25917,1.27397,2.18607,0.09862,0,0.0088318,0.0088318,0.0088318
61,551.15,2.19478,0.37278,1.01806,1.55888,0.04875,12.3183,0.30067,0.24967,0.24133,0.07046,0.69349,0.62366,0.74784,0.41646,3.55131,2.31145,1.34241,3.46754,0.12463,0,0.008812,0.008812,0.008812
62,559.225,2.21859,0.31082,1.00721,1.51112,0.04915,11.567,0.5611,0.73118,0.6168,0.22466,0.71865,0.71414,0.8014,0.61887,3.04899,1.58091,1.07927,2.06359,0.10082,0,0.0087922,0.0087922,0.0087922
63,567.533,2.21548,0.33872,0.97967,1.49556,0.04836,11.4258,0.33309,0.43011,0.23673,0.0454,0.57963,0.74194,0.64646,0.30099,4.24244,2.91454,1.10595,3.8613,0.16384,0,0.0087724,0.0087724,0.0087724
64,575.744,2.26426,0.40443,1.02783,1.57252,0.05104,12.5299,0.57071,0.60215,0.61142,0.23885,0.64295,0.68817,0.7356,0.44697,2.98883,2.05977,0.91972,1.72609,0.09392,0,0.0087526,0.0087526,0.0087526
65,583.955,2.21961,0.36416,0.94628,1.54717,0.04977,11.7202,0.56279,0.5914,0.56018,0.18594,0.58267,0.68817,0.70937,0.56322,3.29295,1.5504,0.8461,1.79459,0.11002,0,0.0087328,0.0087328,0.0087328
66,592.291,2.29111,0.31976,0.97692,1.46956,0.05128,11.4316,0.49108,0.6129,0.55801,0.2451,0.54224,0.78495,0.66038,0.54662,2.9758,1.35904,0.69199,1.51263,0.09777,0,0.008713,0.008713,0.008713
67,600.526,2.24604,0.35616,0.96631,1.46026,0.05023,11.6392,0.32277,0.37634,0.26773,0.07672,0.45131,0.64516,0.49877,0.28022,3.77942,2.41775,1.7224,2.71896,0.13816,0,0.0086932,0.0086932,0.0086932
68,608.767,2.24635,0.34085,0.99084,1.41878,0.04955,11.2929,0.42975,0.35484,0.36107,0.12166,0.59633,0.54839,0.63922,0.42665,3.49966,2.53537,0.49538,2.0392,0.12781,0,0.0086734,0.0086734,0.0086734
69,617.018,2.26193,0.33008,0.95588,1.48619,0.05036,11.5777,0.17975,0.34409,0.14696,0.03284,0.40207,0.67742,0.48684,0.22692,4.07267,2.95905,1.31969,3.17544,0.157,0,0.0086536,0.0086536,0.0086536
