epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,468.434,0.49332,0.44269,0.36979,1.08092,0.97637,0.98399,0.9943,0.88018,0.97637,0.98399,0.9943,0.96721,0.58015,0.38384,0.47191,1.31497,0.00184952,0.00184952,0.00184952
78,474.349,0.47985,0.50715,0.36257,1.1012,0.98481,0.9881,0.99418,0.88546,0.98481,0.9881,0.99418,0.97076,0.57769,0.37938,0.37012,1.42539,0.00184754,0.00184754,0.00184754
79,480.315,0.48938,0.53012,0.38028,1.13071,1,0.99816,0.995,0.88308,1,0.99816,0.995,0.97192,0.60968,0.37967,0.42746,1.48151,0.00184556,0.00184556,0.00184556
80,486.239,0.51318,0.542,0.38288,1.11116,0.97821,0.9881,0.9943,0.87615,0.97821,0.9881,0.9943,0.96612,0.59275,0.37547,0.42599,1.38165,0.00184358,0.00184358,0.00184358
81,492.175,0.45814,0.49338,0.36566,1.08652,1,0.96938,0.98755,0.8722,1,0.96938,0.98755,0.96264,0.52984,0.39068,0.42591,1.34781,0.0018416,0.0018416,0.0018416
82,498.133,0.46813,0.49538,0.3573,1.06911,0.99506,0.95238,0.99267,0.88665,0.99506,0.95238,0.99161,0.9526,0.57942,0.4153,0.4313,1.41406,0.00183962,0.00183962,0.00183962
83,504.232,0.467,0.55062,0.37692,1.07127,0.97562,1,0.99405,0.89871,0.98378,0.9881,0.9884,0.94409,0.51818,0.63006,0.36773,1.33715,0.00183764,0.00183764,0.00183764
84,510.154,0.45698,0.53233,0.35374,1.07635,0.97476,0.9881,0.98203,0.88564,0.97476,0.9881,0.98226,0.95586,0.52838,0.41962,0.41418,1.35374,0.00183566,0.00183566,0.00183566
85,516.015,0.40558,0.4683,0.31596,1.01778,0.99625,1,0.995,0.88887,0.99625,1,0.995,0.97464,0.57196,0.35513,0.43329,1.38342,0.00183368,0.00183368,0.00183368
86,522.005,0.46625,0.50569,0.35569,1.06246,0.98693,1,0.99488,0.86254,0.98693,1,0.99488,0.95901,0.56725,0.41385,0.4593,1.41732,0.0018317,0.0018317,0.0018317
87,527.95,0.4391,0.48563,0.33862,1.03562,1,0.99692,0.995,0.89748,1,0.99692,0.995,0.97356,0.49866,0.37615,0.36927,1.415,0.00182972,0.00182972,0.00182972
88,533.97,0.4523,0.49059,0.35685,1.09664,0.99933,1,0.995,0.91248,0.99933,1,0.995,0.97941,0.50846,0.3508,0.35482,1.34777,0.00182774,0.00182774,0.00182774
89,539.905,0.4368,0.46508,0.3536,1.04663,0.99992,1,0.995,0.89615,0.99992,1,0.995,0.96365,0.53769,0.41391,0.3808,1.38317,0.00182576,0.00182576,0.00182576
90,545.825,0.40871,0.47514,0.32699,1.04034,0.99815,1,0.995,0.89713,0.99815,1,0.995,0.97111,0.55373,0.39645,0.36315,1.36394,0.00182378,0.00182378,0.00182378
91,551.716,0.45088,0.48193,0.36227,1.05427,0.99441,1,0.995,0.88394,0.99441,1,0.995,0.9715,0.52946,0.37726,0.42035,1.43103,0.0018218,0.0018218,0.0018218
92,557.614,0.40167,0.38417,0.32896,0.9965,0.99894,1,0.995,0.91175,0.99715,0.9881,0.99122,0.96177,0.51475,0.4398,0.38959,1.41612,0.00181982,0.00181982,0.00181982
93,563.495,0.401,0.47104,0.32533,1.03567,0.98822,0.99837,0.99488,0.89244,0.99772,0.9881,0.98845,0.96428,0.56264,0.41916,0.39565,1.44459,0.00181784,0.00181784,0.00181784
94,569.627,0.44398,0.47643,0.34133,1.06123,0.99688,1,0.995,0.91186,0.99688,1,0.995,0.97274,0.47419,0.40814,0.39991,1.2603,0.00181586,0.00181586,0.00181586
95,575.518,0.43526,0.49764,0.3544,1.05253,0.98822,0.99895,0.99476,0.92726,0.98822,0.99895,0.99476,0.97534,0.40763,0.3384,0.41943,1.19071,0.00181388,0.00181388,0.00181388
96,581.489,0.44504,0.47804,0.33916,1.03452,0.99753,0.97619,0.99218,0.90364,0.99753,0.97619,0.99273,0.97704,0.55518,0.37048,0.4611,1.36367,0.0018119,0.0018119,0.0018119
97,587.403,0.42145,0.49356,0.32696,1.03861,0.98676,0.9881,0.98653,0.88724,0.98676,0.9881,0.98806,0.96212,0.53118,0.38147,0.45577,1.44799,0.00180992,0.00180992,0.00180992
98,593.305,0.43051,0.43185,0.32629,1.03182,0.97558,1,0.99429,0.91661,0.97558,1,0.99429,0.97884,0.49008,0.32321,0.34284,1.38759,0.00180794,0.00180794,0.00180794
99,599.22,0.39625,0.41997,0.32086,1.0169,0.99553,1,0.995,0.90637,0.99553,1,0.995,0.98301,0.51278,0.33501,0.35157,1.37708,0.00180596,0.00180596,0.00180596
100,605.139,0.38527,0.39006,0.30162,0.98759,0.9985,0.96429,0.99387,0.90756,0.9985,0.96429,0.99387,0.97573,0.48983,0.34834,0.35836,1.29921,0.00180398,0.00180398,0.00180398
101,611.025,0.44039,0.48798,0.3584,1.05848,0.98748,1,0.99476,0.90977,0.98748,1,0.99476,0.97489,0.46212,0.37652,0.35844,1.20269,0.001802,0.001802,0.001802
102,616.919,0.3971,0.46191,0.32242,0.99675,0.95454,1,0.98742,0.91114,0.95454,1,0.98742,0.97074,0.47096,0.38918,0.39218,1.26654,0.00180002,0.00180002,0.00180002
103,622.8,0.41397,0.4633,0.32396,1.01888,0.98808,0.98716,0.99441,0.91845,1,0.99907,0.995,0.97769,0.4249,0.34797,0.34074,1.24345,0.00179804,0.00179804,0.00179804
104,628.718,0.40132,0.4572,0.30719,1.04067,0.99908,0.9881,0.98896,0.91513,1,0.99914,0.995,0.95972,0.46238,0.49625,0.33091,1.24347,0.00179606,0.00179606,0.00179606
105,634.845,0.45427,0.50395,0.32824,1.05251,0.99833,1,0.995,0.93002,0.99833,1,0.995,0.97823,0.42057,0.37807,0.29921,1.22799,0.00179408,0.00179408,0.00179408
106,640.82,0.41158,0.4381,0.32458,1.02927,0.988,1,0.995,0.92457,0.988,1,0.995,0.9672,0.43704,0.45289,0.31175,1.2148,0.0017921,0.0017921,0.0017921
107,646.695,0.39779,0.45381,0.31283,1.03444,0.99889,1,0.995,0.91435,0.99889,1,0.995,0.9731,0.45801,0.37572,0.34102,1.30998,0.00179012,0.00179012,0.00179012
108,652.611,0.40071,0.41236,0.31103,0.99267,0.99932,0.9881,0.99423,0.91745,0.99932,0.9881,0.99423,0.97888,0.44607,0.39444,0.34491,1.17882,0.00178814,0.00178814,0.00178814
109,658.491,0.44568,0.48697,0.34655,1.06396,0.98553,1,0.99465,0.91947,0.98553,1,0.99465,0.96123,0.47475,0.50847,0.36149,1.21782,0.00178616,0.00178616,0.00178616
