epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1198.19,1.33623,1.1134,0.97156,1.88541,0.8433,0.91895,0.93978,0.57712,0.88909,0.97767,0.96025,0.85055,1.39038,0.82439,0.90878,2.23522,0.0015842,0.0015842,0.0015842
65,1216.71,1.32755,1.0262,0.95715,1.89951,0.97481,0.94405,0.98453,0.62229,0.97481,0.94405,0.98794,0.85477,1.35044,0.75593,0.82452,2.35284,0.0015776,0.0015776,0.0015776
66,1235.2,1.29044,0.98739,0.93719,1.86382,0.90275,0.90565,0.97486,0.57485,0.92701,0.92933,0.98461,0.87243,1.53746,0.7593,0.96612,2.35571,0.001571,0.001571,0.001571
67,1253.75,1.2759,0.98118,0.95239,1.84899,0.93072,0.9831,0.98843,0.64483,0.93072,0.9831,0.98843,0.82552,1.26967,1.23494,0.87935,2.23949,0.0015644,0.0015644,0.0015644
68,1272.26,1.24955,1.07216,0.91612,1.81351,0.943,0.92683,0.97262,0.59755,0.943,0.92683,0.97262,0.83987,1.27872,0.83048,0.91325,2.23216,0.0015578,0.0015578,0.0015578
69,1290.89,1.25029,1.02882,0.91946,1.79635,0.95253,0.97894,0.99041,0.66046,0.95253,0.97894,0.99041,0.86333,1.24166,0.89722,0.71762,2.12107,0.0015512,0.0015512,0.0015512
70,1309.45,1.21889,1.02611,0.89336,1.79945,0.9315,0.99509,0.99102,0.59897,0.9315,0.99509,0.99102,0.84306,1.24855,0.70464,0.75271,2.2595,0.0015446,0.0015446,0.0015446
71,1328,1.23578,0.9843,0.87519,1.80023,0.98659,0.97561,0.99208,0.6145,0.98659,0.97561,0.99208,0.83319,1.34843,0.99657,0.83536,2.28813,0.001538,0.001538,0.001538
72,1346.55,1.17118,0.90269,0.86364,1.76017,0.99333,0.95122,0.99273,0.63944,0.99333,0.95122,0.99273,0.86945,1.39479,0.93988,0.78243,2.29512,0.0015314,0.0015314,0.0015314
73,1365.14,1.19126,0.96129,0.86688,1.77331,0.9278,0.95122,0.98519,0.66379,0.9278,0.95122,0.98519,0.8428,1.13977,0.80901,0.74397,2.09084,0.0015248,0.0015248,0.0015248
74,1383.66,1.14429,0.95962,0.85767,1.72047,0.95214,0.97065,0.98579,0.66722,0.94822,1,0.99002,0.88345,1.21849,0.78202,0.7803,2.09618,0.0015182,0.0015182,0.0015182
75,1402.2,1.16685,1.0607,0.87767,1.74407,0.97491,0.97561,0.99078,0.6139,0.97491,0.97561,0.99078,0.85661,1.28866,1.04284,0.773,2.11094,0.0015116,0.0015116,0.0015116
76,1420.77,1.17507,0.99893,0.87331,1.74089,0.90936,0.9789,0.95749,0.62234,0.90936,0.9789,0.95749,0.83978,1.2196,0.86804,0.8615,2.12191,0.001505,0.001505,0.001505
77,1439.29,1.21504,0.97702,0.86259,1.7728,0.94944,0.9162,0.98086,0.62119,0.92814,0.95122,0.98505,0.86557,1.34585,1.0026,0.75782,2.15833,0.0014984,0.0014984,0.0014984
78,1457.85,1.14911,0.95283,0.83212,1.71163,0.96591,1,0.98929,0.66681,0.96591,1,0.98929,0.87935,1.09346,0.64341,0.69656,2.01396,0.0014918,0.0014918,0.0014918
79,1476.4,1.16794,0.96929,0.86524,1.74241,1,0.97236,0.98296,0.58607,1,0.97236,0.98296,0.79268,1.38591,1.20345,0.85216,2.30302,0.0014852,0.0014852,0.0014852
80,1494.94,1.12044,0.88742,0.82488,1.7014,0.96942,0.97561,0.98808,0.71261,0.96942,0.97561,0.98808,0.88209,1.12108,0.76643,0.77063,2.06933,0.0014786,0.0014786,0.0014786
81,1513.49,1.1282,0.87219,0.81497,1.70754,0.99708,0.97561,0.99407,0.66096,0.99708,0.97561,0.99407,0.83975,1.10828,1.14222,0.79801,2.00899,0.001472,0.001472,0.001472
82,1532.03,1.14418,0.90882,0.82345,1.71367,0.8992,0.95122,0.92994,0.52829,0.90878,0.97199,0.948,0.83642,1.63873,0.65904,0.87832,2.44609,0.0014654,0.0014654,0.0014654
