epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,2122.41,0.80421,0.47539,1.16803,0.86156,0.79988,0.84784,0.50875,1.52059,0.85064,1.93273,0.0088417,0.0088417,0.0088417
119,2140.3,0.79512,0.47825,1.16454,0.83213,0.82033,0.84693,0.49647,1.54422,0.82194,1.94825,0.0088318,0.0088318,0.0088318
120,2158.2,0.78857,0.48028,1.16475,0.83193,0.82984,0.86727,0.52581,1.49757,0.7154,1.91861,0.0088219,0.0088219,0.0088219
121,2176.07,0.80049,0.48189,1.17632,0.77038,0.80946,0.81094,0.48408,1.51894,0.88048,1.94689,0.008812,0.008812,0.008812
122,2194.27,0.77919,0.466,1.15222,0.86498,0.82079,0.84349,0.5077,1.51492,0.7766,1.96152,0.0088021,0.0088021,0.0088021
123,2212.17,0.77511,0.4652,1.15813,0.85513,0.77329,0.81716,0.48848,1.53127,0.86954,1.97411,0.0087922,0.0087922,0.0087922
124,2230.08,0.78636,0.46477,1.16294,0.85381,0.81189,0.85657,0.50637,1.55132,0.80504,1.98688,0.0087823,0.0087823,0.0087823
125,2247.97,0.79445,0.48083,1.17334,0.84741,0.7901,0.83888,0.4994,1.53886,0.84935,1.95801,0.0087724,0.0087724,0.0087724
126,2265.88,0.79448,0.48029,1.16634,0.84355,0.85928,0.88416,0.53193,1.50597,0.67697,1.9498,0.0087625,0.0087625,0.0087625
127,2283.82,0.78008,0.47006,1.16146,0.79942,0.81111,0.82173,0.48818,1.5396,0.84538,1.97318,0.0087526,0.0087526,0.0087526
128,2301.77,0.77538,0.46019,1.15003,0.85373,0.80526,0.84354,0.5074,1.50346,0.80397,1.94812,0.0087427,0.0087427,0.0087427
129,2319.73,0.77568,0.46106,1.15459,0.78152,0.78908,0.80197,0.48796,1.52923,0.91594,1.99431,0.0087328,0.0087328,0.0087328
130,2337.73,0.76982,0.46072,1.14804,0.86931,0.81566,0.86145,0.52328,1.52161,0.75171,1.95694,0.0087229,0.0087229,0.0087229
131,2355.66,0.77337,0.45977,1.14824,0.84613,0.81593,0.85967,0.51418,1.53829,0.79699,1.97435,0.008713,0.008713,0.008713
132,2373.63,0.76162,0.45562,1.14964,0.84921,0.84121,0.87062,0.5252,1.50429,0.77234,1.94142,0.0087031,0.0087031,0.0087031
133,2391.56,0.77155,0.46321,1.15259,0.82381,0.77451,0.81592,0.498,1.50061,0.89299,1.92827,0.0086932,0.0086932,0.0086932
134,2409.49,0.75109,0.45068,1.13381,0.82379,0.80228,0.83426,0.49929,1.54734,0.87297,2.01218,0.0086833,0.0086833,0.0086833
135,2427.65,0.76065,0.44866,1.14389,0.79427,0.79572,0.8088,0.48382,1.53545,0.92493,1.97192,0.0086734,0.0086734,0.0086734
136,2445.54,0.75312,0.44926,1.13947,0.82996,0.78037,0.83054,0.49235,1.56508,0.86074,2.05568,0.0086635,0.0086635,0.0086635
